Cantón;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;
602: Esparza;229869;248740;262065;271289;266500;289993;303088;294212;307605;291329;249075;283619;303311;
603: Buenos Aires;145689;152578;138824;150760;158044;164124;176440;166890;177029;176768;177678;170678;170490;
604: Montes de Oro;242481;264988;271938;279640;278649;298402;309918;296786;314333;300583;259436;299947;318739;
605: Osa;279894;295766;275790;304299;319603;323675;340360;313957;336761;341788;339245;329129;339052;
606: Quepos;229014;248880;259331;266193;260956;282778;292117;282597;294318;280381;239384;275651;300124;
607: Golfito;269699;280887;258695;282811;296748;299725;314711;289446;311606;318819;309184;302611;314326;
608: Coto Brus;161421;169530;158349;172452;181828;188934;206574;192333;217761;223638;228901;229256;239155;
609: Parrita;192001;209070;224961;233456;233444;254363;267335;259971;271657;261278;226925;264110;287265;
610: Corredores;222933;236301;222516;246719;254286;258072;269377;247995;266297;272162;266425;253289;256911;
611: Garabito;244247;264360;273897;280255;272667;295583;304172;293807;306521;292484;251044;287228;311029;
612: Monteverde;;;;;;;;;;;;;319450;
613: Puerto Jiménez;;;;;;;;;;;;;314326;
701: Limón;227226;232382;236890;266117;256756;283253;281346;281481;282642;267591;266960;283609;314463;
702: Pococí;219357;229843;231904;253001;242306;263487;262341;255978;263465;253187;244704;259534;290644;
703: Siquirres;275274;288076;289639;323240;312944;336351;332027;321680;333501;319684;300353;274189;301492;
704: Talamanca;154848;159965;162994;184093;181430;206013;219514;219467;232869;228295;211630;237378;286363;
705: Matina;143152;147165;145789;160990;155483;172237;175069;173974;178833;171629;166539;170971;187691;
706: Guácimo;200729;205060;209028;229079;217560;234269;231240;222711;230077;218215;208341;214390;237321;
